domain,dataset,method,mean_quality,std_quality,mean_cost,std_cost,mean_latency,std_latency
finance,stock_sp500,MetaPipe,1.5860645879538422,1.3739207066826034,0.242107572492671,0.1598924282782378,1028.4132639874288,296.00434388543914
finance,stock_sp500,Random,1.676675598255843,1.413437064006226,0.276653746187934,0.1431971636527452,1004.2387409742568,301.38460566349863
finance,stock_sp500,Greedy-Cost,1.628792137428866,1.2429034617820989,0.2246119912474678,0.1398448513051555,933.9405644093624,269.71694361222904
finance,stock_sp500,Greedy-Quality,1.8095993067634255,1.490937013802209,0.2650476991650847,0.1481296993662714,1002.0146232774196,310.63598781196026
finance,stock_sp500,Thompson,1.6832166968034394,1.255552109499192,0.2371949641739346,0.1532387497385084,1046.6678689575922,294.0292536837335
finance,stock_sp500,Static-Best,1.444677259758964,1.1341819720889157,0.2334836842098262,0.1439331242817064,977.2580194298208,278.24383455032427
retail,stock_sp500,MetaPipe,1.6525394979348318,1.237181023939926,0.2604014797736843,0.1289456577687383,979.1584513642928,299.3044402366814
retail,stock_sp500,Random,1.6642569429273733,1.2027005188956386,0.2570736377990428,0.1404275121272183,981.6090705099537,247.16259464796252
retail,stock_sp500,Greedy-Cost,1.5646710201274954,1.1570815741084155,0.2634285877500432,0.1436561478965188,1020.8979370906796,282.7264373007037
retail,stock_sp500,Greedy-Quality,1.6810448016505646,1.1864569698931404,0.2367271504023219,0.1371707347790043,992.3866550081674,295.5328026223053
retail,stock_sp500,Thompson,1.4226202467181523,1.2422171991975366,0.239627489104622,0.1308657634584782,1054.854561718719,298.6508388437026
retail,stock_sp500,Static-Best,1.5464792934942326,1.2126073389122285,0.2636960458418543,0.1466613028177545,969.3197195076584,307.4257377355924
